"serial","儲存日期","序號","主旨","提問日期","答覆內容"
"689","0000-00-00 00:00:00","23599","有關作者號之後加上：""及""-""，例如""8576-2""、""8576：2""，其意義及名稱各為何？""","2010-01-01","作者號之後加上：""，讀作""冒號""，是作者區分號的標識符號，用來區別兩個不同的作者但卻有相同的作者號碼。例如某一圖書館同時收藏張長弓《中國文學史新編》和易蘇民《中國文學史初稿》兩書，標引結果其類號均為""820.9""（以《中國圖書分類法》為標引工具），其著者號均為""8755""（以""首尾五筆著者號取碼法""為標引工具）。於是為了區別起見，後編目的著者就以""8755：2""區別之，如此即達到識別的要求。 作者號之後加上""-""， 讀作""槓號""，是作品號（種次號）的標識符號，用來區別同一類號同一作者的不同作品。換句話說，也就是圖書館收藏了作者多少種的同類書。例如某一圖書館同時收藏了余光中新詩集《隔水觀音》、《紫荊賦》、《夢與地理》三種，標引結果其分類為""851.486""，其著者號為""8566""。於是為了區別起見，後編目的書籍就分別以""8566-2""、""8566-3""區別之，如此即達到識別的要求。 附記：作者區分號及作品號，一般的習慣均從數字""2""，即""：2""、""-2""開始編碼，所以提問中所舉""：1""、""-1""，是不符合一般編目作業習慣的。"""
"690","0000-00-00 00:00:00","23600","西文翻譯書原作者若未有中譯名，應如何取作者號？","2010-01-01","西文翻譯書原作者若未有中譯名，因圖書館採用的著者號取碼法之類型而有差異。目前，臺灣地區最通行的著者號取碼法，主要有兩種：其一為四角號碼著者號取法，另一為首尾五筆著者號取碼法。茲分述如後： (一) 四角號碼著者號取碼法： 依王雲五設計的原意，勿需將西文著者的原名中譯，逕依其編訂之羅馬字母號碼表""取著者號即可。茲將""羅馬字母號碼表""整理如下：""AHO（0）、BP（1）、CK（2）、DT（3）、EIJY（4）、FUVW（5）、GQ（6）、LR（7）、MN（8）、SXZ（9）""。 取碼方法參考資料：請參閱王雲五編訂《中外圖書統一分類》（臺北：臺灣商務印書館，1972）""書前""。香光尼眾佛學院圖書館編訂《佛教圖書分類法. 1996年版》（嘉義：香光書鄉出版社，1996）""附錄""。國立編譯館主編《圖書館學與資訊科學大辭典》（臺北：漢美圖書公司，1995）上冊，頁221-222。 (二) 首尾五筆號碼著者號取碼法： 必須將西文著者原名譯成中文，然後再依中文筆形首尾之""點、橫、直、撇、捺""取著者號。 西方人名中譯工具書，請參閱中央通訊社編《標準譯名錄》（臺北：中央通訊社，19xx）。新華社譯名室編《世界人名翻譯大辭典》（北京：中國對外翻譯出版公司，1993）。 取碼方法參考資料：請參閱國家圖書館編目組編訂《國家圖書館增訂類目表》（臺北：國家圖書館，2000）""附錄""。"""
"691","0000-00-00 00:00:00","23601","團體作者是否依書名的第一個字取作者號（Author Code；Author's Number）？","2010-01-01","通常不依書名取著者號，而是根據團體名稱本身取著者號，唯有一定的取號原則。 團體著者取號原則，最主要有下列3項： 團體作者若有習用之簡稱，例如中研院""、""史語所""、""文建會""等，按簡稱的前3個字（適用於首尾五筆著者取碼法）或前4個字（適用於四角號碼著者取碼法）取著者號。 團體作者若無習用之簡稱，例如國家圖書館、國立教育資料館、臺北市林氏宗親會等，則按團體全稱的前3個字或前4個字取著者號。 團體名稱中如有""中華民國""、""臺閩地區""、""臺灣地區""、""臺灣省""、""財團法人""、""有限責任""、""國立""、""私立""等字樣者，則省略不取。"""
"692","0000-00-00 00:00:00","23602","“首尾五筆著者號取碼法”複姓著者取碼問題。","2010-01-01","“首尾五筆著者號取碼法”（以下簡稱首尾五筆法）係根據“五筆檢字法”原理加以編製而成。“五筆”原指“點、橫、直、撇、折”五種筆形而言。唯“首尾五筆法”已變為“點、橫、直、撇”四筆，另增“捺筆”，仍為五筆，並依序以阿拉伯數字“1、2、3、4、5”以代之。原來五筆檢字法中之“折筆”，則視其落筆分別攤入“橫、直、撇”三筆中。 “首尾五筆法”取碼要點： 先查出每個單字首尾筆形各自之代碼，然後相加求其和數，即求得該字之代碼。 著者號結構： 依“首尾五筆法”所取的著者號通常分兩節，第1節為著者時代號，佔1碼，位在著者號最左側；第二節為“著者首尾五筆號碼”，佔2-3碼，接排在著者時代號之後。 著者號結構圖解： 著者號（3-4碼） = 著者時代號（1碼） + 著者首尾五筆號碼（2-3碼）。 中國人姓名制度： 姓制有單姓、複姓之分，名制有單名、雙名之別，除邊疆民族外，漢人姓名字數多數是4字以內，但取為著者號時至多取3碼。因此，有關複姓單名著者號，自需全取，至於複姓雙名著者號則只需取前三碼即可。"
"693","0000-00-00 00:00:00","23603","因譯者為日本人而將外國作者用假名譯出，取作者號時應依日文假名還是依外國作者原名的漢譯名（例如將Adam譯作亞當）取作者號問題。","2010-01-01","作者號是文獻分類的細化和深化。取作者號的目的在於將同類書作進一步區分，同時又能將同類書中的同一個著者的著作集中一處，對文獻及分類目錄起到排序和集中的作用。 取作者號的先決條件之一是，必須對作者的異名預作控制，亦即必須自始至終依選為標準的名稱取作者號。 根據前述原則，如果譯成假名的外國作者，在國內已有漢譯名或在編目機構已建有漢譯人名權威記錄，應以通行的漢譯名或人名譯名權威記錄取作者號。 如果外國作者未有漢譯名，但譯成假名的外國作者附有西文原名，則依人名漢譯規則或標準譯成漢名後取作者號。 譯成假名的外國作者雖未附西文原名，但可查知該作者的漢譯名，則以查知的漢譯名取作者號；如確實無法查知該作者的漢譯名，則依日文假名譯名取作者號。按假名取作者號可根據“植村著者號碼表”或“國家圖書館假名取碼法要點”（該要點附有“國家圖書館假名首尾五筆號碼表”）。 以上所述，是按臺灣地區圖書館以首尾五筆著者號取碼法""為規範工具的作法，至於以""四角號碼著者號取碼法""為規範工具時，其作法與此不同。按該法對西洋作者是直接依其原名的""羅馬字母號碼表""取作者號，不必經由漢譯這個步驟。至其取作者號方法，請參閱《中外圖書一分類法》（王雲五撰，臺4版，臺北：臺灣商務印書館，1979）一書中之""中外著者統一排列法""一節。"""
"694","0000-00-00 00:00:00","23604","有關西文文獻分類標引時，對於有相同的分類號和作者號，但卻為不同作者，其分類索書號應如何標引。","2010-01-01","圖書分類主要的目的是為了類集和區分，詳言之，即將同類的書聚集一起，不同類的書區分開來。但同類書其分類號必定相同，因此還需進一步加以區分，這樣才能區別每一種書並方便圖書排架。 一般而言，大部分圖書有了分類號和同類書區分號（作者號）組成的分類索書號，即可達到區分和識別的功能。但有時如本題所提，對於有相同的分類號和作者號而又是兩個不同的作者，還必須加上輔助區分號以求補救之。 輔助區分號有多種，作者區分號是其中一種。以國家圖書館西文文獻分類標引為例，作者區分號以小寫的拉丁字母a, b, c…""為識別符號。設有鄭（Cheng）、程（Ch'eng）兩位作者[註]，他們分別著有《朱子哲學》，如以《美國國會圖書館分類法》、《克特著者號碼表》為標引工具，其分類號為""B128.C5""，作者號為""C421""。因此，第二位作者（程）就必須加作者區分號""C421a""以區別之。如此，鄭（Cheng）著之《朱子哲學》分類索書號為""B128.C5 C421""；程（Ch'eng）著之《朱子哲學》分類索書號為""B128.C5 C421a""。 **[註]依據韋翟士羅馬字母（Wade-Gilies System）拼寫"""
"695","0000-00-00 00:00:00","23605","如何取得英文作者之譯名表？","2010-01-01","有關英文作者譯名表，可參閱下列文獻： 世界人名翻譯大典∕新華社編譯室編。北京：中國對外翻譯出版公司，1993。（書末附有“英文譯音表”）； 標準譯名錄∕中央通訊社編。臺北：中央通訊社，1980。"
"696","0000-00-00 00:00:00","23606","對於不同著者而有相同著者號，其索書號應如何區別？","2010-01-01","圖書經過分類後，就可達到「分其異，類其同」的效果，古人所謂「物以類聚，羽以群分」，「同其所同，異其所異」。如以圖書館學觀點來說，也就是將內容性質相同的類聚一起（類聚），將內容性質不同的區分開來（區分）。但是分類只做到類聚和區分的功能，實際在圖書館藏書組織上必須做到「個別化」的要求，也就是說每一本都應有它自己的獨一的、具區別於他書的識別號碼，此號碼就是索書號碼。索書號碼基本上是由分類號和同類書區分號組成的，有了同類書區分號才能進一步區分同類的圖書，如此才便利藏書的組織與排架，也方便圖書出納與管理。 有了同類書區分號，固然可以識別大部分的藏書，但它還是有時而窮，這時必須進一步使用到輔助區分號，才足以區分之。輔助區分號主要有著者區分號、作品號、續編號、複分類、年代號、卷次號以及複本號等多種。其中，著者區分號是輔助區分號最重要的一種，目前圖書館界多用冒號（：）來表示，通常從“：2”開始編號，並按自然數序排列。"
"697","0000-00-00 00:00:00","23607","以四角號碼法為雙姓單名著者取碼規則問題。","2010-01-01","以四角號碼法取個人著者號，以取足4碼為原則。因此，姓名取碼數及取碼法必須要有一定的規定。中國人（其實是漢民族）的姓名制度，主要有單姓雙名、單姓單名、複姓單名、複姓雙名4種，反映在取碼數上，其基本原則如下： 單姓雙名制：“姓”取2碼（左上角和右上角），“名”各取1碼（左上角）。 單姓單名制：“姓”與“名”各取2碼（左上角和右上角）。 複姓單名制：“姓”各取1碼（左上角）、“名”取2碼（左上角和右上角）。 複姓雙名制：“姓”、“名”各取1碼（左上角）。 因此，著者如係歐陽龍，則其著者號應為“7701”。"
"698","0000-00-00 00:00:00","23608","日文作者號取號標準""之規範工具。""","2010-01-01","關於日文作者號取號標準，國家圖書館曾根據“五筆檢字法”原理編有“日文假名號碼表”一種，以作為日文著者取碼的依據，茲抄錄重點如下，以提供參考： 該表將日文片假名之筆形歸納為點、橫、直、撇、捺五種，分別以阿拉伯數字“1, 2, 3, 4, 5”五個數字以表示之。 編碼時，以假名首尾筆形之代碼加起來，求其“和數”、即得出該假名的號碼，例如“工”之號碼為“4”， “才”之號碼為“6”，“力”之號碼為“6”， “八”之號碼為“9”， “二”之號碼為“4”等…，餘類推之。 （因考慮到文字顯示問題，姑以中文字形權充日文假名字母，敬請見諒） 有關日文著者取碼原則簡述如上，圖書館可根據上述原則編製號碼表。國家圖書館並於民國89年11月8日編訂【國家圖書館假名取碼法要點】，以為本館編目規範標準之一。因考慮到日文字顯示問題，姑以PDF檔案格式說明此要點。若欲閱讀【國家圖書館假名取碼法要點】，請先下載Acrobat Reader。 有關日文著者號碼取號的規範工具，在此附帶介紹一種：日人植村長三郎曾根據美國《克特著者號碼表》的編製原理，編有《植村著者號碼表》（原名《著者號碼簡明表》）一種。該法係以日文假名（即五十音順）和阿拉伯數字混合編製成的三位著者號碼表（假名一位、數字兩位），只要通曉五十音順即可查檢利用，頗便編目參考之用。"
"699","0000-00-00 00:00:00","23609","多卷書第1冊書上既未標明編次，也未有其他相關的交代文字，因此編目時，索書號中之年代號自然就不會標引“v.1”。迨及該書第2冊出版時，書上標明“編次2”或“編次II”，自然就造成編目上的困擾問題（包括著錄及分類標引兩方面）。請問像《打鬼戰士. 世界末日求生指南》、《打鬼戰士. II, 檔案Z》這類的多卷書，假如前乙書已編目（當然不會標引“v.1”），則後乙書如再進館，應如何著錄及標引？請惠予解說，以釋疑惑。謝謝！","2010-01-01","1 多卷書編制形態多種多樣，歸納起來有三種類型：其一、只標明編次，例如第1輯、第2卷、第3集等；其二、只標明編次名稱，例如先秦卷、四川篇、工業編等；其三、同時標明編次及編次名稱。上述不同編制類型，對於編目方式會有不同的影響。在此不擬細表，僅以臺端提問為主，簡述如後，提供 卓參。 2 多卷書的首冊（卷，下同）如未標明編次，但已進館又已編目，當第2冊及其後各冊進館時，編目方式可按下列兩種作法之一處理： 2.1 整套著錄法：即將已編目之單本著錄方式改採整套著錄方式。具體作法；即將整套題名記錄於欄位200 $a，各編次如有編次名稱者，則記錄於欄位327（內容註），如只有編次則只調整欄位215 $a（稽核項頁面數）即可。至於分類索書號方面，則將首冊書加標引卷冊號（v.1），其餘第2冊冊以後各冊即可依次標引為“v.2”、“v.3”、“v.4”… …。 2.2 分散著錄法：即首冊之原書目紀錄維持不變，自然其餘各冊皆只能採分散著錄方式，以分別產生本身之書目紀錄。具體作法：即將整套題名記錄於欄位200 $a，各編次如有編次名稱則記錄於$h及$i，215 $a記錄各冊本身之稽核項，即只記該冊之頁面數即可。至於分類索書號方面，首冊原標引之號碼仍維持不變（即不標引續編號），其餘各冊則以續編號方式標引之，即於同類書區分號右側以“.2”、“.3”、“.4”… … 標引之。 3 建議 貴館可按提問中所舉之書例，並依實際編目情況，依上述2.1或2.2兩種作法之一處理之。茲提供該書之中國機讀編目格式試編舉隅如下： 3.1 整套編目：著錄法／Tag 200 $a打鬼戰士 Tag 327 $a第1冊，世界末日求生指南 $a第2冊，檔案Z 冊次號／xxx xxxx v.1 xxx xxxx v.2 … ※xxx：表示分類號 xxxx：表示作者號 3.2 分散編目：著錄法／第1冊：Tag 200 $a打鬼戰士 $i世界末日求生指南 第2冊：Tag 200 $a打鬼戰士 $h II $i檔案Z 續編號／第1冊：xxxx，第2冊：xxxx.2 … ※xxxx：表示作者號"
"700","0000-00-00 00:00:00","23610","本館針對再版之圖書，在索書號標引年代號以資識別，請問年代號之標引，採民國年代抑或採西元年代？","2010-01-01","有關索書號中之年代號標引，採民國年代抑或採西元年代均可，可由圖書館本身選擇一種方式使用之，並無規定非採何種標引方式不可。惟如採西元標引方式，若有跨年之年代號，則字符所佔之比特比較多（有9位之多）。"
"701","0000-00-00 00:00:00","23611","以《中文目錄檢字表》以標引規範工具，請問“梁”字應如何查檢，其首尾五筆號碼又如何標引？","2010-01-01","茲依提問題意解說如下： 1 如以《中文目錄檢字表》為檢字工具，“梁”字應查11畫、點畫部，首尾和數為6之字列裡。 2 如以《中文目錄檢字表》以著者號取碼規範工具，“梁”字之首筆為“點”，其代碼為“1”，尾筆為“捺”，其代碼為“5”，首尾兩個號碼相加，其和數為“6”。綜前所述，“梁”字之首尾五筆號碼為“6”。"
"702","0000-00-00 00:00:00","23612","以《中文目錄檢字表》為取作者號取碼規範工具，請問“梁”字應如何標引？","2010-01-01","以《中文目錄檢字表》為取作者號取碼規範工具，“梁”之號碼應為“6”。茲簡析如後：“梁”字起筆為點，代碼為“1”，收筆為捺，代碼為“5”。取碼時首尾號碼相加，其和為“6”（“1 + 5 = 6”），故作者號標引為“6”。"
"703","0000-00-00 00:00:00","23613","中文書的作者雖為中國人，但取名時卻雜夾著西文字母（例如“qq男”）或逕以西文“Peusers”“window”取名，而手邊待編文獻又查不到有關作者簡介，請問作者號應如何標引","2010-01-01","假如 臺端實在無法查獲待編文獻之作者，可以變通以題名來標引作者號。"
"704","0000-00-00 00:00:00","23614","複本書若一本收藏於普通書區，另一本收藏於特藏書區，則此另一複本書索書號是否需標引“c.2”？","2010-01-01","答案應是肯定的。之所以需加複本號“c.2”，主要有兩個目的：其一、為了識別館藏每一種文獻，甚至每一種文獻的每一分卷（或分冊）。易言之，即使得每一種文獻及每一種文獻的分卷（或分冊）在書架上都有確切位置，以確定在整個藏書體系中的地位，如此才便於出納作業。其二、是用以表徵財產紀錄的註記。準此而言，複本書若一本收藏於普通書區，另一本收藏於特藏書區，則此另一複本書索書號仍需標引“c.2”。"
"705","0000-00-00 00:00:00","23615","請問西文圖書中常有精裝本出版一兩年後，再出版平裝本的情況，但版權年通常是精裝本的出版年，然後印出平裝本的出版年。例如版權年是1999年，平裝本出版年是2000年。成問題的是，假若圖書館收藏的是“平裝本”，年代號應如何標引？標引“版權年”還是平裝本“出版年”？煩請代為解答，謝謝！","2010-01-01","西文圖書既有版權年（年代較早），又有出版年（年版較晚），年代號標引時，通常是先標引出版年再標引版權年。出版年與版權年二者間以逗號隔開，版權年後並加註小寫拉丁字母“c”，以資識別。以臺端提問問題為例，精平裝二者年代號之實際標引法如後：精裝本應標引為“1999”，平裝本應標引為“2000, 1999c”。"
"706","0000-00-00 00:00:00","23616","以《中文目錄檢字表》以標引規範工具，請問“梁”字應如何查檢，其首尾五筆號碼又如何標引？","2010-01-01","茲依提問題意解說如下： 1 如以《中文目錄檢字表》為檢字工具，“梁”字應查11畫、點畫部，首尾和數為6之字列裡。 2 如以《中文目錄檢字表》以著者號取碼規範工具，“梁”字之首筆為“點”，其代碼為“1”，尾筆為“捺”，其代碼為“5”，首尾兩個號碼相加，其和數為“6”。綜前所述，“梁”字之首尾五筆號碼為“6”。"
"707","0000-00-00 00:00:00","23617","有關首尾五筆作者號與四角號碼作者號兩者的優劣為何？本人目前服務的單位使用首尾五筆法取作者號，主管擬改採四角號碼法，原因是首尾五筆法作者號首碼多為代表民國的“8”，排序及檢取書時較不方便？請問我們是否要全面進行改號？","2010-01-01","有關首尾五筆法與四角號碼法兩種作者號取碼規範之優劣，頗不易論斷和比較，端視圖書館本身而定，可說是各有優缺點各有千秋，並非是涇渭分明。茲僅就本人所知，簡述如後，提供 臺端參考。 一、首尾五筆作者號碼法 1 優點 1.1 是編號法的一種（與必須查檢規範工具的查號法相對），只要一學會，即可根據取號規則標引作者號，不必查檢相關規範工具。 1.2 首尾五筆檢字法學習較易。 1.3 作者號之首碼是作者時代號，使讀者一看便知其時代，時還可以滙集同類同時作者之作品於一處。 2 缺點 2.1 由於筆形只歸納成少數的5種筆形，字碼重碼比率比較高。 2.2 西洋作者必須譯成中譯名，始可取作者號，增加翻譯的困擾。同時，同一作者若中譯名不同，會造成作者號取號，反而使同作者的作品分散。 二、四角號碼作者號取碼法 1 優點 1.1 是編號法的一種（與必須查檢規範工具的查號法相對），只要一學會，即可根據取號規則標引作者號，不必查檢相關規範工具。 1.2 西洋作者只須根據羅馬字母（拉丁字母）即可標引作者號，不必譯成中文，真正實踐了中外作者統一取號的理想作法。 2 缺點 2.1 漢字四角、筆形及其號碼，有時不易確定。 2.2 四角號碼檢字法的學習較困難。 2.3 假如分類號碼中未標引時代號碼，就無法使同類同時代作者的作品依時代加以集中或區分不同時代的作者作品。 3 根據以上比較，可知事物之孰優孰劣並非絕對。建議 貴館如無充分配合之人力、財力、物力等條件，以不調整變動為宜。畢竟臺灣地區各個圖書館，在有關分類法之選用上或有趨同的做法，而對於作者號則多“因館制宜”呈現多彩多姿的樣貌。"
"708","0000-00-00 00:00:00","23618","外文翻譯作品的作者號應以原作者還是以翻譯者取作者號？例如《哈利波特》、《貓戰士》等翻譯小說，每集的翻譯者可能相同也可能不同，那該以原作者還是以翻譯者標引作者號？","2010-01-01","1 翻譯作品的作者號，依一般作法自應以原作者取其作者號（或著者號），如此才便於將同一作者同類但不同種的作品或同一種不同版本的同一作品滙集一處。除非某一作品設有專號，始例外地依譯者取作者號。例如《中文圖書分類號》（2007年版）即立有“873.412 綽塞別集”、“873.433 莎士比亞別集”等專號，此時才改依譯者取作者號。 2 根據上述原則， 臺端所舉之《哈利波特》、《貓戰士》等翻譯小說，應以原作者標引其作者號。◇◇外文翻譯作品的作者號應以原作者還是以翻譯者取作者號？例如《哈利波特》、《貓戰士》等翻譯小說，每集的翻譯者可能相同也可能不同，那該以原作者還是以翻譯者標引作者號？"
"709","0000-00-00 00:00:00","23619","採“首尾五筆檢字法”為作者號取碼工具，“林”字號碼為何是“7”？ 以“首尾五筆檢字法”為作者號取碼工具，它的取碼方法為何？以“林”字為例，它的號碼為何是“7”？","2010-01-01","1 未解答之前，先概括介紹“首尾五筆檢字法”，以便入題。“首尾五筆檢字法”原係漢字檢字法之一，但也應用於圖書館工作、目錄工作等相關領域，中國圖書館學會所編訂之《中文目錄檢字表》即專為作者號取碼工具書之一。 2 依“首尾五筆檢字法”取碼規則，首先，將漢字筆畫歸納為“點、橫、直、撇、捺”5種筆形（或筆畫），然後再以阿拉伯數字“1, 2, 3, 4, 5”5個號碼代替之。第二，每個漢字各取其首尾筆形，並以其代碼相加，所得之和數即為該字之號碼。例如“史”“學”二字，其首尾筆形分別為“直、捺”與“撇、橫”，故該二字之號碼分別為“7”“6”。 3 依上述取碼方法取作者號， “林”字首筆為橫筆，其代碼為“2”，末（尾）筆為捺筆，其代碼為“5”，故首尾號碼相加其和為“7”，故該字之首尾五筆號碼為“7”。 4 如欲知其詳，請參閱《國家圖書館增訂類目表》（民國90年版，國家圖書館編目組編訂，臺北市：國家圖書館，2001）一書附錄。"
"710","0000-00-00 00:00:00","23620","《中文目錄檢字》中慈字號碼","2010-01-01","作者號碼“慈”字依《中文目錄檢字》（即“首尾著者號取碼法”）標引，正確號碼應為“2”而不是“4”，即該字以“點”起筆，以“點”收筆，請編目同仁特別注意。"
"711","0000-00-00 00:00:00","23621","請問國家圖書館編目組，何謂“權威檔”，它有何種功能？","2010-01-01","1 「權威檔」（authority file）又譯規範文檔。它是由權威記錄（authority record，又譯「規範記錄」）組成的電腦檔。由於權威標目的種類，包括書目記錄的檢索點（編著者名稱）、統一題名、叢書名、主題標目等。因此，權威檔可分為名稱權威檔、主題權威檔、叢書權威檔3種。其中，名稱權威檔包括個人名稱、國家名稱、機關團體名稱、會議名稱、地理名稱和統一題名等。 2 權威檔作用在於實行權威控制，保證機讀目錄中文檔標目的唯一性和一致性，以便有效實現對機讀目錄的統一管理。標目的唯一性和一致性，包括下列三層含義： 2.1 標目的唯一性：對於同實異稱之標目，只允許選其一為標準形式；對於異實同稱之標目，則加註識別形式。 2.2 標目的一致性：對於多人同時作業或同一人異時作業，其所選取之標目，為一致的、一貫的。 2.3 標目間的關係：包括同實異稱標目間之「見」參照，機關名稱間之改名、改制、改隷之「參見」參照和異實同稱標目間之「說明語」形式。"
"712","0000-00-00 00:00:00","23622","若是為學術研究用途（絕非營利），個人或是學術單位可否申請「中文名稱權威資料庫」的使用權？或是需經由學校之圖書館取得合作授權後方可使用該資料庫？","2010-01-01","「中文名稱權威資料庫」乃本館與NBINet合作館共同建立的資料庫, 目前資料彙整工作仍持續進行中, 因此現階段僅開放給NBINet合作單位使用。未來是否開放給其他機構使用及使用方式, 將另行研議。"
"713","0000-00-00 00:00:00","23623","請問國家圖書館編目組，何謂「線上目錄標題權威檔」？","2010-01-01","就個人所知，似無需將「線上目錄」加諸「標題權威檔」之前，形成形容詞性的詞組：「線上目錄標題權威檔」，直稱「標題權威檔」豈不直接了當且簡明可取。 欲了解「標題權威檔」，先要了解什麼是「權威檔」？所謂「權威檔」（Authority File），又譯規範檔。是指由許多權威記錄組成的計算機文檔，其作用是實行權威控制（規範控制），保證機讀目錄中文檔標目的唯一性和一致性（統一性），以便有效地實現對機讀目錄的統一管理。權威檔可分為名稱權威檔、標題權威檔和叢書權威檔3種。 準上而言，所謂「標題權威檔」是指由許多標題權威記錄組成的計算機文檔，其作用是實行標題權威控制（規範控制），保證機讀目錄中標題標目的唯一性和一致性（統一性），以便有效地實現對機讀目錄中標題標目的統一管理。 標題權威款目依標目的性質或作用可分為「正式標題款目」和「非正式標題款目」兩種。其中，正式標題款目係作為標引或檢索使用的款目，依序著錄「款目詞（或標目詞）、代項同義詞、狹義詞、廣義詞、參項相關詞」等：非正式標題款目係不作為標引或檢索使用的款目，只作為指引使用者去檢閱正式標題款目使用的款目，依序著錄「款目詞」（或標目詞）及「用項同義詞」。 茲舉一例，以明體制。正式標題款目：「邏輯」，代「理則學、論理學」，狹「形式邏輯、數理邏輯」，參「因明、名學」。非正式標題款目：「理則學「用「邏輯」。"
"714","0000-00-00 00:00:00","23624","對於西洋人名例如盧貝松（Luc Besson），作者檢索款目（欄位700）如記錄為「700 $a貝松 $c(Besson, Luc) 」，讀者則無法從「盧貝松」查獲其館藏文獻。請問作者檢索款目應如何著錄，才能集中其館藏文獻？","2010-01-01","本題係有關作者(人名)權威控制問題，僅就本人所知解答如後，敬請參考。 文獻作者或文獻內容涉及之人名，常有一人而有數名的現象(即異名現象)，異名現象造成同一作者的著述不能集中一處，不便於文獻的查檢和匯集。圖書館為了解決此一現象，常用的方法約有二端： 其一、早期以編製參照法""(一般參照、「見」參照 、「參見」參照)來謀求解決； 其二、近年來以透過「權威控制」(又譯規範控制)的機制來謀求解決。由於後者是一種較完善的解決之道，因此本文所述以後者為限。 圖書館對於異名作者的處理法： 其一、作者權威記錄之建立：通常選作者異名中最著稱，或選取最先編目之作者名為其標準形式，此即該作者之權威記錄。作者權威記錄可以人工卡片方式建置，也可以機讀權威記錄格式建置。有關機讀權威記錄之著錄法，結構及欄位與機讀編目格式略同，其詳可參閱《中國機讀權威記錄格式》(國立中央圖書館《中國機讀權威記錄格式》修訂小組編撰，臺北：國立中央圖書館，1994.12)一書，也可參閱國家圖書館全球資訊網「編目園地」網頁上之「編目規範標準∕權威記錄∕中文名稱權威資料庫」等相關資源。 其二、以權威記錄作為異名作者之檢索標目：作者權威記錄建立之後，對於同一作者其後入藏之文獻，應選用已建之權威記錄作為該作者之檢索標目，俾便集中同一作者所有入藏的文獻，並可達到檢索標目一致性的要求。 其三、著錄的具體作法：(1)題名及著者敘述項(欄位200)，仍以入藏文獻原題之作者名「著錄」；(2)檢索標目(欄位7__)應改為圖書館所建權威記錄之標準形式；(3)附錄項(欄位300或314)應註明文獻原題之作者名與檢索標目之作者名兩者之間的關係，例如附註項應註明：「撰者本名 xx」、「撰者筆名 xx 」、「撰者改譯 xx 」等。 由上分析可知，只要依照上述步驟進行文獻著錄並建立權威控制，作者檢索款目(欄位700)不論記錄為「700 $a貝松 $c(Besson, Luc) 」或「700 $a盧貝松 $c(Luc Besson) 」，讀者均可從「貝松」或「盧貝松」查到該作者所有的館藏文獻。 """
"715","0000-00-00 00:00:00","23625","國家圖書館編印之《中國機讀權威紀錄格式》欄位35, 900, 901, 904""及其各欄之""$a""代表什麼意義？請予解答，以釋疑惑。""","2010-01-01","《中國機讀權威紀錄格式》（1994）以3位阿拉伯數字表示欄位（Field）*，以$""配以數字或羅馬字母表示分欄（Subfield）。 欄位035係表示權威記錄的舊系統號，欄位900係記錄圖書館的Local資料。如欲知其詳，請逕詢本館書目資訊中心，電話：（02）2382-2374；E-mail：nbinet@msg.ncl.edu.tw。 **附註：注意！欄號英文為“Tag Number”。"""
"716","0000-00-00 00:00:00","23626","陳先生您好！編目時發現許多不同的出版社，卻編印了相同名稱的叢書，針對此種情況，應如何進行叢書名權威控制，即應如何在權威紀錄檔中加以區別？煩請解答，謝謝！","2010-01-01","目前並無特別的分欄，以記錄“同名異實”的叢書名稱。惟參酌《中文權威紀錄機讀編目格式》的著錄樣例，可直接以出版社名稱加註於叢書名之後，並用圓括號加以標示，即可達到識別“同名異實”的叢書了。例如遠流和源流兩家出版機約莫同時推出了《中國歷代詩人選集》叢書，二者權威紀錄格式著錄樣式如下： 230 __ $a中國歷代詩人選集（遠流出版事業公司） 230 __ $a中國歷代詩人選集（源流出版社）"
"717","0000-00-00 00:00:00","23627","“857.61 中國小說總集和“857.63 中國小說別集”之區分","2010-01-01","有關賴永祥《中國圖書分類法》“857.61 中國小說總集”和“857.63 中國小說別集”之區分問題。 解答內容： 「小說總集」係指匯編多人小說的作品集而言。 相對的，「小說別集」則指匯編一人多篇小說的作品集而言。 兩者相同之處都是匯編多篇小說的作品集，不同之處總集是多人的作品集，別集是一人的作品集。 至於二、三人小說作品集，依分類原則應分入小說總集。我國古代目錄對於二人以上的作品集，也是分入總集的，其作法可供參考。唯有時覺得分入總集，在分類揭示及檢索上又有被總集遮蓋之虞，因而有分入別集也許比較好的感覺。（如分入別集，可選在前或主要的作家為分類依據）基於前述的考慮，有關如何標引二、三人小說作品集，最好事前訂妥分類原則，以免實際作業時造成困擾。 """
